Clade Name	Clade Definition	Section Letter	Components	Show	Comments
onocots/Commelinids Zingiberales	BDJQ+JNUB+JQCX+KNKV+LEMW+LSKK+OYLU+TNWF+TZNS+UOEL+XHHU	None		0	
EusporangiateMonilophytes Ophioglossales	BEGM+DJSE+EEAQ+QHVS+WTJG	None		0	
Klebsormidiophyceae	BFIK+FPCO+FQLP	None		0	
CoreEudicots/Asterids Cornales	BFJL+BTZX+FWBF+OTAN+QURC+UZNH+VTLJ+VUSY+XONJ+ZETY	None		0	
osses Bryales	BGXB+JMXW+XWHK	None		0	
LeptosporangiateMonilophytes Osmundales	BIVQ+RFMZ+UOMY+VIBO+YKSS	None		0	
onocots Asparagales	BLAJ+CMCY+CNTZ+DMIN+DPFW+EMJJ+FCEL+FGRF+GJPF+HOKG+ICNN+IQYY+IXEM+JDTY+JHUL+JSAG+JVBR+KBXS+KOFB+KXSK+KYNE+LDME+LELS+LSJW+LTZF+MTHW+MUMD+MVRF+ONBE+PLBZ+PRFO+RCUX+RDYY+RQZP+SART+SVTS+TCYS+THDM+TRRQ+UZXL+VTUS+WTDE+XEUV+XFJG+XZME+YBML+YJUG+ZKPF	None		0	
Liverworts Porellales	BNCU+CHJJ+KRUQ+TGKW+UUHD	None		0	
Chromista Chrysophyta	BOGT+DBYD+VKVG	None		0	
onocots/Commelinids Poales	BPKH+BRUD+BSTR+BXAY+BYPY+CIEA+CXSJ+EFCZ+GZSF+HATH+IADP+ICOX+NNOK+OMXG+PPQR+PWSG+PZAP+RCAH+RMVB+ROEI+SOHV+TIJL+VQYB+WBIB+WCOR+WXNT+XBKS+XPAF+XUAB+YLWW+YPIC+YXNR+ZENX+ZMGN	None		0	
CoreEudicots/Asterids Gentianales	BQEQ+DNQA+DSUV+ECTD+EDEQ+GGJD+HGSM+JCLQ+JGYZ+JOPH+KPUM+MGVU+PCNH+QEHE+UFQC+ULGV+UOYN+WQRD+YADI+YFQX+ZSGF+KTWL	None		0	
CoreEudicots Santalales	BSEY+QKMG+RSPO+STKY+VGVI+XGFU+XKPS	None		0	
Santalales	BSEY+QKMG+RSPO+STKY+VGVI+XGFU+XKPS	None		0	
amiellophyceae Monomastigales	BTFM	None		0	
Red Algae	BWVJ+CKXF+Cyame_v1.0+FTRP+IEHF+IHJY+IKIZ+IKWM+JEBK+JJZR+LJPN+LLXJ+OBUY+PVGP+PWKQ+PYDB+RSOF+RTLC+SBLT+UGPM+URSB+UYFR+VNAL+VZWX+WEJN+XAXW+YSBD+ZJOJ+ZULJ	None		0	
CoreEudicots/Rosids Brassicales	BXBF+CRNC+CSUV+CZPV+DZTK+EZXQ+GTSV+HABV+HELY+HYZL+IPWB+JOIS+LAPO+LJQF+LVUS+MBQU+MYZV+QSKP+RTTY+SWPE+TZWR+UAXP+UPZX+UVQL+VDKG+VMNH+ZLOA	None		0	
onocots Alismatales	BYQM+COCP+DWZT+MFIN+YMES	None		0	
Chlorophyceae Sphaeropleales	BZSH+FOYQ+JRDV+MWAN+NLOM+OTQG+PZIF+QGQH+VJDZ+XKWQ+XTON+YOHC	None		0	
Caryophyllales	Betvu_v1.1+AAXJ+AKTA+AZBL+BDIW+BERS+BJKT+BKQU+BLWH+BWRK+BYNZ+BZMI+CBJR+CGGO+CPKP+CPLT+CTYH+CUTE+CUVY+CVDF+CZJT+DBCE+DEMH+DVXD+DZRA+EDIT+EGOS+EMIG+ENCD+EPVF+EYRD+EZGR+FVXD+FYSJ+FZQN+GBCQ+GCYL+GDYP+GIWN+GJNX+GQAV+HDSY+HMFE+HSXO+HTDC+HUGU+HURS+HZTS+IWIS+JAFJ+JBGU+JGAB+JLOV+KDCH+KJAA+KTQI+LBZM+LDEL+LFQH+LKKX+LLQV+LUNL+MBWM+MEAH+MRKX+MUCT+NXTS+OFWX+OHKC+OLES+ONLQ+OPZX+OYST+PDQH+PDXY+QAIR+QASA+QMUN+RNBN+RUUB+RXEN+SCAO+SFKQ+SHEZ+SKNL+SMMC+TJES+TMMR+TRLB+UNSW+UQCB+VJPU+VKOE+VPCP+VUIT+WGET+WGUG+WHHY+WMLW+WOBD+WPYJ+WQUF+XSSD+YNFJ+ZBPY+ZBTA+ZJDK+OMYK	None		0	
EusporangiateMonilophytes Equisetales	CAPN+JVSZ	None		0	
CoreEudicots/Asterids Dipsacales	CAQZ+FFFY+GSZA+HLJG+JTRM+QRNU+SNBI+ZJRC	None		0	
Lycophytes Lycopodiales	CBAE+ENQF+GAON+GKAG+GTUO+NYBX+PQTO+ULKT+UPMJ+WAFT+XNXF+YHZW+ZZEI	None		0	
CoreEudicots Saxifragales	CIAC+CKKR+CTSS+DAYQ+DMKC+DRIL+ERIA+FCBJ+FYTP+HQRJ+HTIP+IUSR+KWGC+LMVB+NUZN+OMDH+OOVX+SLOI+SYHW+TOKV+TQOO+UHBY+UWFU+YHXT+YKFU+YKQR+ZJUL	None		0	
Saxifragales	CIAC+CKKR+CTSS+DAYQ+DMKC+DRIL+ERIA+FCBJ+FYTP+HQRJ+HTIP+IUSR+KWGC+LMVB+NUZN+OMDH+OOVX+SLOI+SYHW+TOKV+TQOO+UHBY+UWFU+YHXT+YKFU+YKQR+ZJUL	None		0	
CoreEudicots/Asterids Escalloniales	CLMX+CLNU	None		0	
osses Rhizogoniales	CMEQ+WNGH	None		0	
LeptosporangiateMonilophytes Schizaeales	CQPW+PBUU	None		0	
Ulvophyceae Ulvales	CQQP+LSHT+OAEZ+OQON+KSFK+NQYP	None		0	
agnoliids Piperales	CSSK+MUNP+OPDF+PAWA+QDVW+XSZI	None		0	
LeptosporangiateMonilophytes Salviniales	CVEG+KIIX	None		0	
CoreEudicots/Rosids Fagales	CWZU+DXQW+HENI+INSP+JLLY+LNER+LWDA+NHUA+NIJU+SVVG+TJLC+UZWG+VWIP	None		0	
Trebouxiophyceae	Chlva_v1.0+EEJO+PFUD+AKCR+BILC+JQFK+MFYC+MNCB+GXBM+ZNUM+DXNY+EATP+NKXU+WXRI+ZDOF+ETGN+QYXY+WCLV	None		0	
agnoliids Canellales	DDEV+IFCJ+SJEV+WKSU	None		0	
EusporangiateMonilophytes Marattiales	DFHO+NHCM+UGNK+UXCS	None		0	
agnoliids Magnoliales	DHPO+OBPL+PSJT+WBOD+XQWC+YZRI	None		0	
osses Hypnales	DHWX+EEMJ+IGUH+JADL+LNSF+MIRS+QKQO+QMWB+TAVP+TMAJ+VBMM+WSPM+ZACW	None		0	
Coleochaetales	DRGY+QPDY+VQBJ	None		0	
Coleochaetophyceae	DRGY+QPDY+VQBJ	None		0	
Chlorophyceae Oedogoniales	DVYE+SDPC	None		0	
Trebouxiophyceae	EEJO	None		0	
prasinophytes Scourfieldiales	EGNB	None		0	
Dillenia	EHNF	None		0	
BasalEudicots unranked	EHNF+XMQO+AALA+OKEF	None		0	
Palms	Elagu_v2.0+HWUP+HXJE+NSPR+QGLJ	None		0	
BasalEudicots Proteales	FAKD+GRRW+OBOJ+REOF+RQUG+SIIK+VQFW	None		0	
osses Dicranales	FFPD+NGTD+RGKI+VMXJ	None		0	
Liverworts Treubiales	FITN	None		0	
CoreEudicots/Rosids Geraniales	FONV+HDWF+VKGP+YGCX	None		0	
BasalAngiosperms Austrobaileyales	FZJL+NWMY+ROAP+VZCI	None		0	
LeptosporangiateMonilophytes Cyatheales	GANB+PNZO+EWXK+UWOD	None		0	
CoreEudicots/Asterids Garryales	GIPR+SZUO	None		0	
Ulvophyceae Ulvophyceae incertae sedis	GJIY	None		0	
Cycadales Cycadales	GNQG+KAWQ+WLIC+XZUY	None		0	
osses Sphagnales	GOWD+RCBT+UHLI	None		0	
osses Pottiales	GRKU	None		0	
Gnetales	GTHK+TOXE+VDAO	None		0	
Trebouxiophyceae Microthamniales	GXBM+ZNUM+DXNY+EATP+NKXU+WXRI+ZDOF+ETGN+QYXY+WCLV	None		0	
Bryopsidales	GYBH+JTIG	None		0	
Ulvophyceae Bryopsidales	GYBH+JTIG	None		0	
Liverworts Sphaerocarpales	HERT	None		0	
Chlorodendrales	HHXJ+DUMA+FMVB+HVNO	None		0	
Liverworts Marchantiales	HMHL+IHWO+ILBQ+JPYU+LFVP+TFDQ+TFYI+WJLO	None		0	
Liverworts Ptilidiales	HPXA	None		0	
osses Tetraphidales	HVBQ	None		0	
onocots/Commelinids Arecales	HWUP+HXJE+NSPR+QGLJ	None		0	
OtherPrasinococcales	HYHN+XJGM	None		0	
prasinophytes/Prasinococcales Prasinococcales	HYHN+XJGM+XMCL	None		0	
CoreEudicots/Rosids Celastrales	IHCQ+MFEA	None		0	
Chlorophyceae Chaetophorales	IJMT+ISGT+JMUI+RAWF+VFIV	None		0	
Nephroselmidophyceae Nephroselmidales	ISIM+MMKU	None		0	
BasalEudicots Buxales	IWMW	None		0	
CoreEudicots/Rosids Oxalidales	JHCN+THHD+TIUZ+YZVJ	None		0	
Liverworts Pelliales	JHFI+PIUF+YPSN	None		0	
Glaucophyta	JKHA+POOW+PQED+QFND+WLZP+YTYU	None		0	
prasinophytes Pseudoscourfieldiales	JMTE+MXEZ	None		0	
Ulvophyceae Ignatiales	KADG	None		0	
OtherUlvophyceae	KADG+ALZF+NSTT+PZBH+QJYX+LETF+AJAU+CBNG+JIWJ+GJIY+CQQP+LSHT+OAEZ+OQON+KSFK+NQYP	None		0	
osses Encalyptales	KEFD	None		0	
CoreEudicots/Rosids Zygophyllales	KVAY+UDUT+ZHMB	None		0	
esostigmatophyceae	KYIO	None		0	
Ulvophyceae Ulotrichales	LETF+AJAU+CBNG+JIWJ	None		0	
amiellophyceae Mamiellales	MCPK+QXSZ	None		0	
LeptosporangiateMonilophytes Gleicheniales	MEKP+XDVM	None		0	
onocots Acorales	MTII	None		0	
Charophyceae	MWXT	None		0	
Strept	MWXT+AZZW+DRGY+QPDY+VQBJ+WCQU+WDGV+AEKF+BHBK+DFDS+DRFX+GBGT+GGWH+GYRP+HIDG+HJVM+ISHC+KEYW+MCHJ+MNNM+MOYY+QWFV+RPQV+RPRU+RQFE+STKJ+YSQT+Pinta_v2.0+Ambtr_v1.0.27+Nelnu_v1.0+Aquco_v1.1+Chabr_v0.1+Betvu_v1.1+Solly_iTAGv2.3+Mimgu_v2.0+Theca_v1.1+Arath_TAIR10+Carpa_ASGPBv0.4+Phavu_v1.0+Eucgr_v1.1+Manes_v4.1+Poptr_v3.0+Prupe_v1.0+Vitvi_Genoscope.12X+Klefl_v1.0+Selmo_v1.0+Sorbi_v2.1+Spipo_v2+Elagu_v2.0+Orysa_v7.0+Musac_v1.0+Phypa_v3.0+BFIK+FPCO+FQLP+KYIO+GTHK+TOXE+VDAO+AQFM+AREG+AWQB+DZQM+GAMH+GGEA+IIOL+IOVS+JUWL+MFTM+NPRL+VSRH+WVWN+JBND+ACWS+AIGO+AUDE+BBDD+BTTS+BUWV+CDFR+CGDN+DSXO+EFMS+EGLZ+ESYX+ETCJ+FHST+FMWZ+FRPM+GJTI+GKCZ+GMHZ+HBGV+HILW+HOUF+HQOM+IAJW+IFLI+IZGN+JDQB+JRNA+JZVE+KLGF+MHGD+MIXZ+NKIN+NRXL+NVGZ+OUOI+OVIJ+OWFC+OXGJ+PLYX+QCGM+QFAE+QHBI+QNGJ+QSNJ+RMMV+ROWR+RSCE+SCEB+UEVI+UUJS+VFYZ+VGSX+WWSS+WYAJ+XIRK+XLGK+XMGP+XQSG+XTZO+YFZK+YLPM+YYPE+ZQVF+ZQWM+ZYAX+URDJ+FZJL+NWMY+ROAP+VZCI+NPND+PZRT+WTKZ+QUTB+HAEU+EHNF+XMQO+IWMW+FAKD+GRRW+OBOJ+REOF+RQUG+SIIK+VQFW+SWOH+AALA+OKEF+WFBF+YHFG+ACYX+AUGV+BEKN+BFMT+BMRX+CCHG+CCID+CYVA+EPRK+ERXG+EVOD+FNXH+FPYZ+GBVZ+GMAM+GOQJ+IORZ+IRAF+JSVC+KKCW+LVNW+MIKW+MLPX+MVTX+NJKC+NMGG+QCOU+QTJY+QZBA+RKGT+RQNK+RRID+SMZF+SSDU+STDO+SUFP+TMWO+TUHA+UDHA+UNPT+UPOG+VGHH+XHKT+XMVD+YDEH+ZGQD+ZSNV+ZUHO+OSHQ+WZFE+AAXJ+AKTA+AZBL+BDIW+BERS+BJKT+BKQU+BLWH+BWRK+BYNZ+BZMI+CBJR+CGGO+CPKP+CPLT+CTYH+CUTE+CUVY+CVDF+CZJT+DBCE+DEMH+DVXD+DZRA+EDIT+EGOS+EMIG+ENCD+EPVF+EYRD+EZGR+FVXD+FYSJ+FZQN+GBCQ+GCYL+GDYP+GIWN+GJNX+GQAV+HDSY+HMFE+HSXO+HTDC+HUGU+HURS+HZTS+IWIS+JAFJ+JBGU+JGAB+JLOV+KDCH+KJAA+KTQI+LBZM+LDEL+LFQH+LKKX+LLQV+LUNL+MBWM+MEAH+MRKX+MUCT+NXTS+OFWX+OHKC+OLES+ONLQ+OPZX+OYST+PDQH+PDXY+QAIR+QASA+QMUN+RNBN+RUUB+RXEN+SCAO+SFKQ+SHEZ+SKNL+SMMC+TJES+TMMR+TRLB+UNSW+UQCB+VJPU+VKOE+VPCP+VUIT+WGET+WGUG+WHHY+WMLW+WOBD+WPYJ+WQUF+XSSD+YNFJ+ZBPY+ZBTA+ZJDK+OMYK+BSEY+QKMG+RSPO+STKY+VGVI+XGFU+XKPS+CIAC+CKKR+CTSS+DAYQ+DMKC+DRIL+ERIA+FCBJ+FYTP+HQRJ+HTIP+IUSR+KWGC+LMVB+NUZN+OMDH+OOVX+SLOI+SYHW+TOKV+TQOO+UHBY+UWFU+YHXT+YKFU+YKQR+ZJUL+AJFN+CWYJ+EDBB+EITK+JBYE+MVSE+NTEO+OINM+QIKZ+SALZ+SBZH+SUVN+TQKZ+WEQK+ASMV+DFYF+QACK+SXML+AFQQ+AQZD+AUIP+BIDT+BMSE+CFRN+DDRL+DESP+DOVJ+DSWR+DUNJ+DUQG+EXHX+EYKJ+FUPX+FXGI+GFVW+GIOY+GUMF+HRVY+HUQC+HXCD+HXDV+IHPC+IPUI+IXVJ+IZLO+JEPE+JNKW+JYMN+JZHZ+KFZY+KGJF+KJBH+LMXP+LYPZ+MHYG+MMJI+NUSE+NVSO+OAGK+QBGG+QNIK+QXWF+RFSD+RLCS+RZSW+TEZA+TNVE+TPEM+UBLN+UQAZ+UYED+WSYE+XRCX+YRBQ+ZCUA+ZGDS+ZNZC+ABEH+CSWE+DIHD+DKFZ+EIGQ+EMAL+HANM+IDGE+IPPG+IWJG+JWEY+MDJK+MZOB+NIGS+OEKO+OUER+RGMN+SMUR+VJSJ+XKVX+XVRU+YQIJ+BFJL+BTZX+FWBF+OTAN+QURC+UZNH+VTLJ+VUSY+XONJ+ZETY+CAQZ+FFFY+GSZA+HLJG+JTRM+QRNU+SNBI+ZJRC+ADHK+AVJK+AXBO+BEFC+BNTL+DAAD+DTOA+FNEN+HUSX+JEXA+JPDJ+KVFU+LRTN+NGRR+ODDO+OJCW+OXYP+PIYM+PPPZ+PTFA+QAUE+SERM+UFHF+VKJD+WRPP+WVMY+WXVX+YSRZ+CLMX+CLNU+GIPR+SZUO+BQEQ+DNQA+DSUV+ECTD+EDEQ+GGJD+HGSM+JCLQ+JGYZ+JOPH+KPUM+MGVU+PCNH+QEHE+UFQC+ULGV+UOYN+WQRD+YADI+YFQX+ZSGF+KTWL+YZGX+ATYL+AYIY+BAHE+CLRW+COBX+CWLL+DCCI+DCVZ+DMLT+DTNC+DYFF+EAAA+EBOL+EDXZ+EJBY+EJCM+EQDA+FAMO+FDMM+FROP+FUMQ+FYUH+GAKQ+GCFE+GDZS+GETL+GNPX+GNRI+GRFT+HRUR+IYDF+JCMU+KTAR+LRRR+MQIV+MXFG+MZLD+NBMW+OWAS+PCGJ+PHCE+PHOQ+PSHB+PTBJ+PUCW+QKEI+RTNA+RWKR+SIBR+SNNC+SVQC+TAGM+TKEK+TORX+TPUT+UCNM+UEEN+UMUL+URZI+UTQR+VTOK+VYDM+WEAC+WHNV+WOHL+WUZV+XAYK+XISJ+XMBA+XMOG+XRLM+XXYA+YKZB+YRHD+ZRIN+ZVFS+PVGM+QZZU+AHRN+AIOU+ALUC+BOLZ+CPOC+DLAI+DLJZ+EMBR+ERWT+GHLP+IZNU+JNVS+LQJY+LWCK+MKZR+NAUM+NHAG+NMDZ+OQBM+OSMU+QSLH+SDXI+UGJI+VXKB+XQRV+BXBF+CRNC+CSUV+CZPV+DZTK+EZXQ+GTSV+HABV+HELY+HYZL+IPWB+JOIS+LAPO+LJQF+LVUS+MBQU+MYZV+QSKP+RTTY+SWPE+TZWR+UAXP+UPZX+UVQL+VDKG+VMNH+ZLOA+IHCQ+MFEA+PTLU+VYGG+AXAF+NJJO+NNGU+OCTM+AKRH+ATQZ+CMFF+FPLR+GEHT+HJMP+JETM+JTQQ+KEGA+KNMB+KZED+LQUX+LXGM+MGBF+MYMP+NXOH+OAQS+OHAE+OQHZ+PEZP+PFSA+PJSX+QZXQ+RIDD+RKFX+RKLL+RMWJ+SLYR+SUAK+TJMB+TTRG+TVSH+VHZV+VLNB+XOOE+ZCDJ+ZSSR+ZUQW+CWZU+DXQW+HENI+INSP+JLLY+LNER+LWDA+NHUA+NIJU+SVVG+TJLC+UZWG+VWIP+FONV+HDWF+VKGP+YGCX+WWKL+AEPI+AXPJ+BHYC+BNDE+BVOF+CKDK+COAQ+EZZT+FWCQ+GLVK+HBUQ+HNCF+IEPQ+INQX+KCPT+KKDQ+LFII+LFOG+LPGY+LSLA+MJAV+MYVH+NFXV+NJLF+OGSY+OODC+OSIP+OZJZ+PAZJ+POZS+PXYR+RHAU+RPPC+RVGH+RZTJ+SIZE+TDTF+TVCU+TXMP+VNMY+VPDX+VVPY+VXOD+XNLP+XPBC+XWMS+YGAT+ZBVT+ZIWB+ZTLR+ATFX+AWJM+KPTE+OLXF+PKMO+PUDI+QJXB+WMUK+WYIG+ZSAB+AYMT+FGDU+NEBM+AJBK+AJJE+AQXA+ARYD+AXNH+BZDF+CHTD+CJGZ+DIBI+DSVQ+DWAP+DZLN+EBPG+ECSL+EQYT+EWHG+EXGW+FDBS+FEDW+FXJC+GBGW+GVCB+GZUR+HKMQ+HOOU+HPNZ+ICUS+IDAU+IIFB+IMZV+JKNQ+JMJV+JROW+JYOB+KAOV+KBRW+KFAL+LACT+LHDP+LHSH+MJHP+MLUJ+NQWS+ONZG+PMTB+QBRF+QEBC+REZJ+RJNQ+RLZU+ROLB+SEMK+SJAN+SWGX+TAHF+TGOP+TLCA+UASK+UJGI+VUGF+WBXY+WPUV+WWQZ+XSNO+XZAQ+XZPP+YHLF+YIVZ+YMUO+YNUE+ZINQ+JHCN+THHD+TIUZ+YZVJ+ACFP+AQGE+BJSW+BLVL+CQMG+DGNP+DHAW+EAVM+EDHN+EILE+IANR+KYAD+MCNW+NCVK+PDIE+PMRP+QIEH+QNOC+RBYC+SFZX+SQCF+SXCE+TJQY+VCIN+WKCY+WVEF+XFFT+XVJB+ZHEE+ZPKK+BCAA+CAIX+FCCA+HBHB+IKFD+JSZD+OBTI+PGKL+QICX+RJIM+UHJR+UVDC+VCCF+VFFP+WAXR+YUOM+KVAY+UDUT+ZHMB+BBBA+BGZG+SZPD+GNQG+KAWQ+WLIC+XZUY+CAPN+JVSZ+DFHO+NHCM+UGNK+UXCS+BEGM+DJSE+EEAQ+QHVS+WTJG+ALVQ+QVMR+SGTW+ANON+BSNI+DXOU+FAJB+FANS+IQJU+RXRQ+TCBC+TWUW+WCZB+WEEQ+ZFRE+AKXB+UCRN+GANB+PNZO+EWXK+UWOD+MEKP+XDVM+QIAD+TRPJ+TWFZ+WGTU+BIVQ+RFMZ+UOMY+VIBO+YKSS+AFPO+BMIF+BMJR+CJNT+DCDT+FCHS+FLTD+FQGQ+GSXD+GYFU+HEGQ+HNDZ+HTFH+IXLH+JBLI+KJZG+LHLE+MROH+MTGC+NDUV+NOKI+NWWI+OCZL+OQWW+ORJE+PIVW+POPJ+PSKY+RFRB+RICC+RWYZ+SKYV+UFJN+UJTT+UJWU+URCP+VITX+VVRN+WCLG+WQML+XDDT+XWDM+XXHP+YCKE+YIXP+YJJY+YLJA+YOWV+YQEC+ZQYU+ZRAV+ZXJO+CVEG+KIIX+CQPW+PBUU+NWQC+AEXY+IRBN+LGOW+OFTV+RTMU+WZYK+YBQN+TXVB+HMHL+IHWO+ILBQ+JPYU+LFVP+TFDQ+TFYI+WJLO+NRWZ+YFGP+JHFI+PIUF+YPSN+BNCU+CHJJ+KRUQ+TGKW+UUHD+HPXA+HERT+FITN+PKOX+PYHZ+CBAE+ENQF+GAON+GKAG+GTUO+NYBX+PQTO+ULKT+UPMJ+WAFT+XNXF+YHZW+ZZEI+ABIJ+JKAA+KJYC+KUXM+LGDQ+ZFGK+ZYCD+ZZOL+DDEV+IFCJ+SJEV+WKSU+ABSS+BCGB+BSVG+FALI+KAYP+KRJP+MAQO+VYLQ+WAIL+WIGA+WPHN+DHPO+OBPL+PSJT+WBOD+XQWC+YZRI+CSSK+MUNP+OPDF+PAWA+QDVW+XSZI+MTII+BYQM+COCP+DWZT+MFIN+YMES+BLAJ+CMCY+CNTZ+DMIN+DPFW+EMJJ+FCEL+FGRF+GJPF+HOKG+ICNN+IQYY+IXEM+JDTY+JHUL+JSAG+JVBR+KBXS+KOFB+KXSK+KYNE+LDME+LELS+LSJW+LTZF+MTHW+MUMD+MVRF+ONBE+PLBZ+PRFO+RCUX+RDYY+RQZP+SART+SVTS+TCYS+THDM+TRRQ+UZXL+VTUS+WTDE+XEUV+XFJG+XZME+YBML+YJUG+ZKPF+OCWZ+AFLV+GDKK+MWYQ+NHIX+OOSO+OVRB+QNPH+SFCT+THEW+VVVV+DGXS+QOXT+SILJ+VBHQ+HWUP+HXJE+NSPR+QGLJ+BPKH+BRUD+BSTR+BXAY+BYPY+CIEA+CXSJ+EFCZ+GZSF+HATH+IADP+ICOX+NNOK+OMXG+PPQR+PWSG+PZAP+RCAH+RMVB+ROEI+SOHV+TIJL+VQYB+WBIB+WCOR+WXNT+XBKS+XPAF+XUAB+YLWW+YPIC+YXNR+ZENX+ZMGN+BDJQ+JNUB+JQCX+KNKV+LEMW+LSKK+OYLU+TNWF+TZNS+UOEL+XHHU+WOGB+ORKS+BGXB+JMXW+XWHK+AWOI+HRWG+FFPD+NGTD+RGKI+VMXJ+KEFD+YEPO+ABCD+BPSG+RDOO+YWNF+DHWX+EEMJ+IGUH+JADL+LNSF+MIRS+QKQO+QMWB+TAVP+TMAJ+VBMM+WSPM+ZACW+SZYG+ZTHV+GRKU+CMEQ+WNGH+GOWD+RCBT+UHLI+SKQD+HVBQ+ZQRI+NNHQ+JOJQ+RPGL+VAZE+YLBK+YOXI+FFGR+FMRU+HAOX+HKZW+KMNX+MFZO+NBYP+SNOX+TPHT+WDCW+WGMD+WSJO+XRTZ+ZRMT	None		0	
Chara	MWXT+Chabr_v0.1	None		0	
Zings	Musac_v1.0+BDJQ+JNUB+JQCX+KNKV+LEMW+LSKK+OYLU+TNWF+TZNS+UOEL+XHHU	None		0	
Ulvophyceae Trentepohliales	NATT+YDCQ	None		0	
Streptophytaincertaesedis	NNHQ	None		0	
BasalAngiosperms Ceratophyllales	NPND	None		0	
Liverworts Metzgeriales	NRWZ	None		0	
Liverworts	NWQC	None		0	
